92,136,138,140,184,
0,
Temperatura_CP_1,AI,Real
Temperatura_CP_2,AI,Real
Temperatura_CP_3,AI,Real
Temperatura_CP_4,AI,Real
Temperatura_TAE,AI,Real
Temperatura_Serpentina,AI,Real
Temperatura_Aq_Grosseiro,AI,Real
Temperatura_Aq_Fino,AI,Real
Temperatura_Retorno,AI,Real
Temperatura_H2O_in,AI,Real
Temperatura_H2O_out,AI,Real
Umidade_TAE,AI,Real
Umidade_Serpentina,AI,Real
Umidade_Cabana,AI,Real
Umidade_Retorno,AI,Real
Pressões_Filtro_Fino,AI,Real
Pressões_Filtro_Grosso,AI,Real
Pressões_CP,AI,Real
Valvula_H2O_retorno,AI,Real
Damper1_Retorno,AI,Real
Damper2_Retorno,AI,Real
Damper3_Retorno,AI,Real
Frequencia_V20,AI,Real
SP_Aq_Fino,AQ,Real
SP_Aq_Grosso,AQ,Real
SP_Umidade,AQ,Real
MV_Valvula,AQ,Real
SP_Damper1,AQ,Real
SP_Damper2,AQ,Real
SP_Damper3,AQ,Real
MV_Aq_Fino,AQ,Real
MV_Aq_Grosso,AQ,Real
RPM_V20,AQ,Real
Q_air_V20,AQ,Real
CP-23M9_St_Inversor,DI,Bool
CP-23B29_St_FC1,DI,Bool
CP-23B27_St_TAQ1,DI,Bool
CP-23B28_St_TAQ11A,DI,Bool
Status_Disjuntor_Motor_1,DI,Bool
Status_Disjuntor_Motor_2,DI,Bool
Status_Contator_AQ1,DI,Bool
Status_Contator_AQ1_1A,DI,Bool
Reset_Security_System,DQ,Bool
CP-23M9_On/Off,DQ,Bool
CP-23M9_Reverso,DQ,Bool
CP-23M9_ACK,DQ,Bool
CP-23M9_Jog,DQ,Bool
CP-23M12,DQ,Bool
Dampers_Circula,DQ,Bool
Dampers_Renova,DQ,Bool
Dampers_TrocaAr,DQ,Bool
Emergencia,DQ,Bool
Auto_mode,DQ,Bool
Manual_mode,DQ,Bool
SP_Aq_Fino_W,AQ,Real
SP_Aq_Grosso_W,AQ,Real
SP_Umidade_W,AQ,Real
MV_Valvula_W,AQ,Real
SP_Damper1_W,AQ,Real
SP_Damper2_W,AQ,Real
SP_Damper3_W,AQ,Real
MV_Aq_Fino_W,AQ,Real
MV_Aq_Grosso_W,AQ,Real
RPM_V20_W,AQ,Real
Q_air_V20_W,AQ,Real
Reset_Security_System_W,DQ,Bool
CP-23M9_On/Off_W,DQ,Bool
CP-23M9_Reverso_W,DQ,Bool
CP-23M9_ACK_W,DQ,Bool
CP-23M9_Jog_W,DQ,Bool
CP-23M12_W,DQ,Bool
Dampers_Circula_W,DQ,Bool
Dampers_Renova_W,DQ,Bool
Dampers_TrocaAr_W,DQ,Bool
Emergencia_W,DQ,Bool
Auto_mode_W,DQ,Bool
Manual_mode_W,DQ,Bool
